Town, Total , Total Males ,Total Females , Total Chinese,Chinese Males ,Chinese Females ,Total Malays,Malay Males ,Malay Females ,Total Indians,Indian Males ,Indian Females ,Total Others ,Other Males ,Other Females 
         Ang Mo Kio ,"179,297","87,113","92,184","146,966","71,220","75,746","12,873","6,355","6,518","14,952","7,532","7,420","4,506","2,006","2,500"
             Cheng San ,"30,503","14,883","15,620","24,815","12,064","12,751","2,437","1,221","1,216","2,539","1,291","1,248",712,307,405
             Chong Boon ,"29,903","14,671","15,232","24,613","12,043","12,570","2,005",989,"1,016","2,625","1,346","1,279",660,293,367
             Kebun Bahru ,"25,854","12,513","13,341","20,486","9,864","10,622","2,338","1,172","1,166","2,331","1,167","1,164",699,310,389
             Sembawang Hills ,"6,851","3,261","3,590","6,008","2,830","3,178",115,58,57,526,263,263,202,110,92
             Shangri-La ,"21,071","10,345","10,726","16,511","8,083","8,428","2,049","1,023","1,026","2,034","1,035",999,477,204,273
             Sindo ,"7,287","3,520","3,767","6,431","3,109","3,322",73,32,41,518,259,259,265,120,145
             Town Centre ,"4,982","2,419","2,563","4,302","2,100","2,202",235,108,127,296,142,154,149,69,80
             Townsville ,"21,403","10,270","11,133","17,788","8,543","9,245","1,452",691,761,"1,683",823,860,480,213,267
             Yio Chu Kang ,"31,443","15,231","16,212","26,012","12,584","13,428","2,169","1,061","1,108","2,400","1,206","1,194",862,380,482
         Bedok ,"294,519","144,400","150,119","209,892","102,310","107,582","47,179","23,178","24,001","25,348","13,028","12,320","12,100","5,884","6,216"
             Bayshore ,"6,497","3,118","3,379","4,661","2,173","2,488",117,46,71,"1,017",523,494,702,376,326
             Bedok North ,"91,139","44,879","46,260","62,739","30,784","31,955","18,472","9,192","9,280","6,993","3,554","3,439","2,935","1,349","1,586"
             Bedok Reservoir ,"23,076","11,462","11,614","16,590","8,235","8,355","4,152","2,053","2,099","1,629",855,774,705,319,386
             Bedok South ,"52,313","25,584","26,729","39,911","19,349","20,562","6,206","3,043","3,163","3,660","1,913","1,747","2,536","1,279","1,257"
             Frankel ,"31,536","14,918","16,618","25,557","11,986","13,571","1,213",547,666,"2,677","1,341","1,336","2,089","1,044","1,045"
             Kaki Bukit ,"43,781","21,791","21,990","27,734","13,737","13,997","10,614","5,247","5,367","4,236","2,232","2,004","1,197",575,622
             Kembangan ,"38,722","19,216","19,506","27,300","13,592","13,708","6,249","2,992","3,257","3,748","1,944","1,804","1,425",688,737
             Siglap ,"7,455","3,432","4,023","5,400","2,454","2,946",156,58,98,"1,388",666,722,511,254,257
         Bishan ,"91,298","44,530","46,768","77,303","37,619","39,684","4,045","1,931","2,114","7,223","3,660","3,563","2,727","1,320","1,407"
             Bishan East ,"30,374","14,693","15,681","25,191","12,157","13,034","1,632",774,858,"2,709","1,374","1,335",842,388,454
             Marymount ,"29,256","14,438","14,818","24,793","12,231","12,562","1,411",676,735,"2,275","1,162","1,113",777,369,408
             Upper Thomson ,"31,668","15,399","16,269","27,319","13,231","14,088","1,002",481,521,"2,239","1,124","1,115","1,108",563,545
         Bukit Batok ,"144,198","71,362","72,836","104,266","51,231","53,035","20,482","10,179","10,303","15,257","7,942","7,315","4,193","2,010","2,183"
             Bukit Batok Central ,"26,553","13,062","13,491","20,279","9,930","10,349","3,149","1,542","1,607","2,494","1,284","1,210",631,306,325
             Bukit Batok East ,"15,921","7,994","7,927","9,833","4,861","4,972","3,303","1,663","1,640","2,395","1,287","1,108",390,183,207
             Bukit Batok South ,"14,651","7,219","7,432","10,756","5,289","5,467","1,771",854,917,"1,713",870,843,411,206,205
             Bukit Batok West ,"16,286","8,050","8,236","11,336","5,548","5,788","2,529","1,244","1,285","2,071","1,100",971,350,158,192
             Gombak ,"8,866","4,336","4,530","7,310","3,584","3,726",758,373,385,607,291,316,191,88,103
             Guilin ,"13,911","6,807","7,104","9,939","4,821","5,118","2,055","1,017","1,038","1,418",723,695,499,246,253
             Hillview ,"17,942","8,663","9,279","15,596","7,533","8,063",336,145,191,"1,097",537,560,913,448,465
             Hong Kah ,"30,067","15,230","14,837","19,216","9,664","9,552","6,581","3,341","3,240","3,462","1,850","1,612",808,375,433
         Bukit Merah ,"157,122","76,751","80,371","125,323","60,789","64,534","11,359","5,657","5,702","15,892","8,227","7,665","4,548","2,078","2,470"
             Alexandra Hill ,"16,345","8,109","8,236","12,378","6,125","6,253","1,853",917,936,"1,755",908,847,359,159,200
             Bukit Ho Swee ,"16,483","8,133","8,350","13,268","6,527","6,741","1,449",713,736,"1,401",735,666,365,158,207
             Bukit Merah ,"1,302",650,652,"1,110",546,564,26,12,14,135,75,60,31,17,14
             Depot Road ,"4,210","2,020","2,190","3,534","1,686","1,848",193,96,97,403,205,198,80,33,47
             Everton Park ,"9,259","4,426","4,833","7,411","3,514","3,897",247,107,140,"1,032",529,503,569,276,293
             Henderson Hill ,"15,613","7,784","7,829","11,911","5,912","5,999","1,705",866,839,"1,668",869,799,329,137,192
             Kampong Tiong Bahru ,"11,743","5,872","5,871","9,455","4,720","4,735",834,422,412,"1,261",651,610,193,79,114
             Maritime Square ,"1,921",947,974,"1,287",609,678,46,23,23,200,103,97,388,212,176
             Redhill ,"11,905","5,774","6,131","9,822","4,750","5,072",749,350,399,985,518,467,349,156,193
