Town, Total , Total Males ,Total Females , Total Chinese,Chinese Males ,Chinese Females ,Total Malays,Malay Males ,Malay Females ,Total Indians,Indian Males ,Indian Females ,Total Others ,Other Males ,Other Females 
     Ang Mo Kio- Total ,"174,770","84,220","90,550","143,290","68,860","74,430","13,060","6,430","6,640","14,150","7,050","7,100","4,270","1,890","2,390"
         Ang Mo Kio Town Centre ,"5,020","2,370","2,640","4,260","2,020","2,240",210,90,120,360,170,190,190,100,90
         Cheng San ,"29,770","14,400","15,370","24,660","11,890","12,770","2,140","1,080","1,060","2,380","1,210","1,170",600,230,370
         Chong Boon ,"27,900","13,590","14,310","22,910","11,150","11,760","1,950",950,"1,010","2,400","1,230","1,170",630,260,370
         Kebun Bahru ,"23,910","11,450","12,460","19,210","9,160","10,060","2,200","1,090","1,110","1,910",940,960,590,270,330
         Sembawang Hills ,"6,890","3,240","3,650","6,080","2,850","3,230",100,50,50,500,230,270,220,110,110
         Shangri-La ,"18,510","9,090","9,410","13,900","6,810","7,090","2,410","1,200","1,210","1,790",920,880,410,170,240
         Tagore ,"8,350","3,990","4,360","7,440","3,540","3,900",70,40,40,560,270,290,270,140,140
         Townsville ,"23,770","11,300","12,470","19,630","9,320","10,310","1,660",800,860,"1,900",930,970,580,250,330
         Yio Chu Kang ,30, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Yio Chu Kang East ,"4,080","2,020","2,060","3,620","1,790","1,830",50,30,30,300,140,160,120,60,50
         Yio Chu Kang North , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Yio Chu Kang West ,"26,550","12,750","13,800","21,540","10,330","11,220","2,270","1,110","1,160","2,060","1,000","1,060",670,310,370
     Bedok- Total ,"289,750","141,220","148,530","208,880","101,010","107,870","43,980","21,640","22,340","25,110","12,880","12,230","11,780","5,690","6,090"
         Bayshore ,"7,480","3,580","3,900","5,240","2,450","2,790",130,50,80,"1,360",670,680,750,410,340
         Bedok North ,"85,930","41,990","43,940","59,870","29,010","30,860","17,030","8,510","8,520","6,430","3,310","3,120","2,600","1,150","1,450"
         Bedok Reservoir ,"25,400","12,420","12,980","18,900","9,240","9,660","3,700","1,810","1,900","2,020","1,020","1,000",770,350,420
         Bedok South ,"51,190","25,010","26,180","39,110","18,950","20,160","5,890","2,900","2,990","3,780","1,960","1,820","2,410","1,200","1,210"
         Frankel ,"33,570","15,920","17,650","27,430","12,840","14,590","1,160",520,640,"2,670","1,360","1,310","2,310","1,200","1,110"
         Kaki Bukit ,"40,820","20,220","20,600","26,180","12,900","13,280","9,740","4,840","4,910","3,780","1,980","1,800","1,120",510,610
         Kembangan ,"38,440","18,870","19,570","27,170","13,350","13,820","6,220","2,970","3,250","3,650","1,900","1,750","1,400",650,750
         Siglap ,"6,930","3,210","3,720","4,980","2,270","2,710",110,40,70,"1,420",680,730,430,220,210
     Bishan- Total ,"90,700","44,110","46,590","77,220","37,480","39,740","3,760","1,790","1,970","7,000","3,530","3,470","2,720","1,320","1,400"
         Bishan East ,"28,820","13,760","15,060","24,020","11,440","12,580","1,460",690,770,"2,560","1,280","1,280",790,360,430
         Marymount ,"31,540","15,650","15,880","27,090","13,440","13,660","1,270",600,670,"2,300","1,190","1,110",880,430,450
         Upper Thomson ,"30,340","14,700","15,640","26,100","12,600","13,500","1,040",500,540,"2,140","1,060","1,080","1,060",530,520
     Boon Lay- Total ,30, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Liu Fang ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Samulun ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Shipyard , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tukang ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Bukit Batok- Total ,"139,270","68,650","70,610","102,080","50,040","52,040","19,570","9,690","9,880","13,730","7,050","6,670","3,900","1,870","2,030"
         Brickworks , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Bukit Batok Central ,"26,060","12,780","13,280","19,820","9,700","10,110","3,240","1,580","1,660","2,410","1,220","1,190",590,270,320
         Bukit Batok East ,"14,570","7,280","7,290","9,330","4,580","4,750","3,120","1,590","1,530","1,810",970,840,320,150,170
         Bukit Batok South ,"13,940","6,860","7,080","10,460","5,120","5,340","1,570",760,810,"1,550",800,750,370,190,180
         Bukit Batok West ,"15,190","7,460","7,730","10,750","5,270","5,480","2,430","1,200","1,230","1,710",860,850,300,130,170
         Gombak ,"9,820","4,840","4,980","8,350","4,110","4,240",630,310,320,630,320,310,220,100,120
         Guilin ,"13,130","6,390","6,740","9,310","4,500","4,800","1,920",920,"1,000","1,470",750,720,430,220,220
         Hillview ,"18,220","8,790","9,430","15,750","7,580","8,170",340,150,190,"1,150",550,590,980,510,470
         Hong Kah North ,"28,340","14,260","14,080","18,320","9,190","9,140","6,330","3,180","3,140","2,990","1,570","1,420",690,310,380
     Bukit Merah- Total ,"155,840","75,450","80,390","122,610","58,870","63,740","13,400","6,730","6,670","15,120","7,720","7,400","4,710","2,130","2,570"
         Alexandra Hill ,"15,650","7,720","7,930","11,330","5,570","5,770","2,300","1,170","1,130","1,700",860,840,320,120,190
         Alexandra North ,"1,000",450,550,750,340,410,10, - ,10,140,60,80,110,50,50
         Bukit Ho Swee ,"16,290","7,980","8,310","13,050","6,310","6,740","1,500",780,730,"1,340",700,640,400,190,210
         Bukit Merah ,"1,190",570,610,"1,010",490,530,20,10,10,130,70,60,20,10,10
         City Terminals ,40, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Depot Road ,"5,200","2,480","2,720","4,310","2,050","2,270",160,70,80,490,240,250,240,120,120
         Everton Park ,"9,010","4,270","4,750","6,910","3,230","3,680",670,330,340,"1,020",510,510,420,200,220
         Henderson Hill ,"12,870","6,370","6,500","9,160","4,520","4,640","2,010","1,010","1,000","1,370",710,660,330,130,200
         Kampong Tiong Bahru ,"10,460","5,210","5,240","8,060","4,000","4,060","1,050",530,520,"1,150",610,540,210,80,130
         Maritime Square ,"2,560","1,210","1,340","1,800",840,960,40,20,20,260,120,140,460,230,230
         Redhill ,"12,210","5,890","6,320","9,870","4,730","5,140","1,010",500,510,"1,010",520,490,330,150,180
         Singapore General Hospital ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
