year,level_1,level_2,value
2015,Total,"Total",2151.9
2015,"Below $1,000","Total",173.7
2015,"$1,000 - $1,499","Total",184.8
2015,"$1,500 - $1,999","Total",148.9
2015,"$2,000 - $2,499","Total",160.5
2015,"$2,500 - $2,999","Total",137.2
2015,"$3,000 - $3,999","Total",269.3
2015,"$4,000 - $4,999","Total",218.1
2015,"$5,000 - $5,999","Total",179.1
2015,"$6,000 - $6,999","Total",132.9
2015,"$7,000 - $7,999","Total",103.2
2015,"$8,000 - $8,999","Total",84.9
2015,"$9,000 - $9,999","Total",60.2
2015,"$10,000 - $10,999","Total",57.4
2015,"$11,000 - $11,999","Total",36.5
2015,"$12,000 & Over","Total",205.2
